Y,M,D,HH,MM,BOROUGH_x,LATITUDE,LONGITUDE,STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,temperature_2m (°C),precipitation (mm),rain (mm),cloudcover_low (%),windspeed_10m (km/h),winddirection_10m (°),BOROUGH_y,VOL
2019,9,25,19,0,MANHATTAN,40.76161,-73.97076,PARK AVENUE,EAST 57 STREET,,0,0,24.0,0.0,0.0,0.0,8.7,275.0,BROOKLYN,20.0
2019,9,25,19,15,BROOKLYN,40.677834,-74.00617,HUNTINGTON STREET,COLUMBIA STREET,,0,0,24.0,0.0,0.0,0.0,8.7,275.0,BROOKLYN,74.0
2019,9,25,10,45,QUEENS,40.75546,-73.88631,81 STREET,NORTHERN BOULEVARD,,0,0,14.4,0.0,0.0,13.0,6.1,310.0,QUEENS,219.5
2019,9,25,16,45,MANHATTAN,40.742275,-73.989235,WEST 24 STREET,BROADWAY,,1,0,22.3,0.0,0.0,87.0,9.8,294.0,MANHATTAN,82.5
2019,9,25,16,0,BROOKLYN,40.673298,-74.00835,COLUMBIA STREET,BAY STREET,,0,0,22.3,0.0,0.0,87.0,9.8,294.0,STATEN ISLAND,127.5
2019,9,25,16,45,QUEENS,40.671326,-73.78848,150 STREET,SUTTER AVENUE,,0,0,22.3,0.0,0.0,87.0,9.8,294.0,BROOKLYN,104.0
2019,9,25,20,45,MANHATTAN,40.848392,-73.937675,WEST 178 STREET,BROADWAY,,0,0,24.2,0.0,0.0,0.0,8.3,270.0,MANHATTAN,54.5
2019,9,25,5,45,MANHATTAN,40.759308,-73.9653,2 AVENUE,EAST 57 STREET,,1,0,17.3,0.0,0.0,0.0,6.3,294.0,BROOKLYN,4.0
2019,9,25,5,15,QUEENS,40.753536,-73.8869,34 AVENUE,80 STREET,,2,0,17.3,0.0,0.0,0.0,6.3,294.0,QUEENS,34.5
2019,9,26,16,45,BROOKLYN,40.63347,-74.02102,5 AVENUE,BAY RIDGE AVENUE,,0,0,23.9,0.0,0.0,0.0,12.8,190.0,BROOKLYN,40.0
2019,9,26,16,0,STATEN ISLAND,40.601006,-74.09151,COLUMBUS AVENUE,TARGEE STREET,,0,0,23.9,0.0,0.0,0.0,12.8,190.0,STATEN ISLAND,283.0
2019,9,26,13,0,BROOKLYN,40.691597,-73.991455,LIVINGSTON STREET,COURT STREET,,1,0,18.3,0.0,0.0,0.0,8.3,214.0,BROOKLYN,114.0
